rank,alpha_name,ic_mean,ic_std,ic_ir,ic_fold1,ic_fold2,ic_fold3,sharpe_mean,max_dd_mean,total_return_mean
1,mr_015,0.01952122247573729,0.008454512606329855,2.3089707691868413,0.026316674195619977,0.02843775204413008,0.015954712687106604,-0.05041830909823221,-97.04519644608796,-0.28669790283663177
2,vol_001,0.013534659983464077,0.011739382651557339,1.1529277463043235,0.014726557515629256,0.002838755376570915,0.03225567117766544,0.05033543248047964,-9.64871607238844,0.6765068677205344
3,vol_004,0.012969658487012816,0.01208043329005899,1.0736087171381155,0.011765867364708246,0.000536450911199895,0.03272511736036941,0.05033543248047964,-9.64871607238844,0.6765068677205344
4,vwap_001,0.010758886193254234,0.005908287656245018,1.820982121932091,0.017386740036360065,0.006523915542198854,0.015682292804067032,0.04869799977048981,-25.096125883997424,0.6462030855223797
5,vol_005,0.010396923985498789,0.0036718145945495427,2.8315492838151544,0.011000343990245095,0.004226855553358744,0.01320516958024058,0.06119583851633093,-38.728276328056076,1.0925649814455503
6,momentum_010,0.01011992831847665,0.006267088412700559,1.6147735043865223,0.007329114338063903,0.019973277622860393,0.010282490031393749,0.020140825855869546,-71.46931941607114,0.07405387059707016
7,vol_009,0.010069707152620252,0.00516849480547917,1.948286209351562,0.01516186235598074,0.002988526610586461,0.0148590900986679,0.05033543248047964,-9.64871607238844,0.6765068677205344
8,vol_002,0.009533424964312172,0.0051527138097197675,1.8501755223293979,0.011420144231781929,0.0008906361719965299,0.014511786725259646,0.04004628718680191,-64.66040280136532,0.42429320743340754
9,vol_006,0.007594956406117438,0.005086512293206646,1.4931560110964395,0.007713128068714064,0.004773101013855298,0.015723915799223574,0.05033543248047964,-9.64871607238844,0.6765068677205344
10,combo_003,0.007391130194709514,0.005980513983726987,1.2358687254675471,0.009920465293748947,0.008571153883538738,0.013548832680722494,0.04869799977048981,-25.096125883997424,0.6462030855223797
11,vwap_004,0.007207157737591608,0.010555687147291014,0.6827748527428871,0.00688783637869047,0.001627051267946394,0.024246742941393982,0.05033543248047964,-9.64871607238844,0.6765068677205344
12,momentum_012,0.006449021332811776,0.003497046816664328,1.844133542073423,0.003059431683617769,0.0029670066441748,0.01080518440433908,0.05033543248047964,-9.64871607238844,0.6765068677205344
13,vol_007,0.00565781133507074,0.0025297248742247387,2.236532277765833,0.009675926547427948,0.003211399530597889,0.0038153789718631866,0.04869799977048981,-25.096125883997424,0.6462030855223797
14,momentum_009,0.004709952164833997,0.011987501737436047,0.3929052331333707,0.001769674381878476,-0.010930189484675371,0.02262934301890653,0.05033543248047964,-9.64871607238844,0.6765068677205344
15,combo_005,0.004077143907092779,0.004643238731220354,0.8780819042705581,0.009728266767188345,0.003504657740822214,0.006069903358277995,0.03870056911881201,-9.675894034641859,0.3413248742845213
16,momentum_015,0.0022662234775603115,0.005168675965352277,0.438453385886777,-0.004847081816683405,-0.00048740492385796673,0.007222853655603492,0.05033543248047964,-9.64871607238844,0.6765068677205344
17,momentum_004,0.002099215208555065,0.006791147113688998,0.3091105483966989,0.0027173382789455625,-0.004981826571790689,0.012849678105497867,0.05033543248047964,-9.64871607238844,0.6765068677205344
18,mr_012,0.001309885393222945,0.012288814861661179,0.10659167771414185,0.01571998689042061,0.0004619943175380431,-0.017794432925775122,-0.05033543248047964,-96.94063103111968,-0.28653589791337775
19,momentum_013,0.0012545537325406885,0.005396921054786872,0.23245730663930042,0.0020752441201212835,-0.0059722157844374025,0.009099164810022866,0.05033543248047964,-9.64871607238844,0.6765068677205344
20,momentum_007,0.0009560494564782729,0.00469141836490026,0.20378686830216186,-0.0059081185409544,0.000424470597587282,0.0072316846013707565,0.05033543248047964,-9.64871607238844,0.6765068677205344
